epoch,accuracy,loss,val_accuracy,val_loss
0,0.35289233922958374,1.3279026746749878,0.46685880422592163,1.2752783298492432
1,0.6404649615287781,1.002981185913086,0.6570605039596558,0.9176365733146667
2,0.7987821698188782,0.5865505337715149,0.6887608170509338,0.7678825259208679
3,0.849155843257904,0.41962090134620667,0.6887608170509338,0.7669767737388611
4,0.8848602175712585,0.3270409405231476,0.680115282535553,0.8222606182098389
5,0.9106006026268005,0.26017773151397705,0.6945244669914246,0.8611860275268555
6,0.9308054447174072,0.21201670169830322,0.680115282535553,0.9267733097076416
7,0.9429836869239807,0.18234317004680634,0.6570605039596558,0.9839082360267639
8,0.950179934501648,0.15631996095180511,0.6829971075057983,1.043715476989746
9,0.9576529264450073,0.13946157693862915,0.6714697480201721,1.0700072050094604
10,0.9654027223587036,0.1138688176870346,0.6685879230499268,1.119938611984253
11,0.9673401713371277,0.10881619900465012,0.6657060384750366,1.174673080444336
12,0.9690008163452148,0.10099572688341141,0.6685879230499268,1.1761527061462402
13,0.974259614944458,0.0910550206899643,0.6541786789894104,1.2587047815322876
14,0.9731525182723999,0.08724939823150635,0.6772334575653076,1.2673643827438354
15,0.9748131632804871,0.08150052279233932,0.6714697480201721,1.2802197933197021
16,0.9775809645652771,0.07206206768751144,0.6541786789894104,1.340113878250122
17,0.9786880612373352,0.07203726470470428,0.6657060384750366,1.3454742431640625
18,0.9775809645652771,0.07238245755434036,0.6743515729904175,1.448155164718628
19,0.976473867893219,0.07038208842277527,0.6743515729904175,1.3895173072814941
20,0.9767506122589111,0.06775695085525513,0.6714697480201721,1.4600911140441895
21,0.976473867893219,0.06293501704931259,0.6628242135047913,1.452786922454834
22,0.9789648652076721,0.06201419234275818,0.6685879230499268,1.474982738494873
23,0.9767506122589111,0.0638052374124527,0.6743515729904175,1.4878584146499634
24,0.9773041605949402,0.05992878973484039,0.6657060384750366,1.4747326374053955
